AI; Seth
Inventor; Alphys, Alyx, Anakin Skywalker (Young), Anakin Skywalker, Doctor Eggman, Dr. Bunsen Honeydew, Eldon Spark Turen, Garrik Doriana, Iron Man, Ironheart, Leo Valdez, Lorana Ritten, Peridot, Ruby Rose, Ted Kord, Yang Xiao Long
Inventor Inventee; Alphys|Mettaton EX, Anakin Skywalker (Young)|C3PO, Anakin Skywalker|C3PO, C3PO|Anakin Skywalker, Mettaton|Alphys
Invisible; The Invisible Woman
Irish; Mallory Keen
Japanese; Akihide Karatsu, Rumy, Sunfire
Jedi Knight; Ahsoka Tano, Anakin Skywalker, Cal Kestis, Luke Skywalker, Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, Rey, Yoda
Jedi Master; Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, Yoda
Jedi Order; Anakin Skywalker, Mace Windu, Obi-Wan Kenobi, Qui-Gon Jinn, Yoda
Jerk; Lorenz, Yekkon Shmekkon
Jock; Alex
Jokester; Camilo Madrigal, Felix Madrigal, Alois, Sans
Unstoppable Juggernaut; Doomslayer, the Icon of Sin
Justice League; Aquaman, Barry Allen, Bart Allen, Batman, Black Canary, Black Lightning, Booster Gold, Captain Marvel, Cyborg, Green Arrow, Hal Jordan, Hawkgirl, Hippolyta, John Stewart, Martian Manhunter, Supergirl, Superman, Ted Kord, Wally West, Wonder Woman
Justice League Dark; Amethyst, Batman, Wonder Woman
Justice League International; Batman, Booster Gold, Ted Kord
Justice Society of America; Alan Scott, Hippolyta, Jay Garrick, Jesse Quick, Kal-L
Kanto; Blue, Brock, Misty, Red (Pokemon)
Kidnapper; Bowser, IKCFAMWSIIF
Kind; Julieta Madrigal, Steven Universe, Frisk, Frisk (Pacifist Route), Princess Peach
King; Aquaman, Aragorn, Asgore, Black Panther, Bowser, Dimitri
Kleptomaniac; Tamatoa
Knight; Alois, Ashe, Catherine, Ingrid, Pearl
Knights of Seiros (Fire Emblem); Alois, Byleth, Catherine, Flayn, Rhea, Seteth, Shamir
Knives; Mai, Mallory Keen, Yekkon Shmekkon
Koopa; Bowser Jr., Bowser
Kree; Carol Danvers, Ronan the Accuser
Kryptonian; Kal-L, Superboy Prime, Supergirl, Superman
LGBTQ+; Abigail, Adora, Alan Scott, Albus Dumbledore, Alex Fierro, Alex, Alphys, America Chavez, Anole, Asami Sato, Blake Belladonna, Catra, Elliot, Emily, Haley, Harvey, Korra, Leah, Magnus Chase, Maru, Northstar, Penny, Ruby, Sam (Stardew Valley), Sapphire, Sebastian, Shane, Undyne, Viv Vision, Yang Xiao Long
Lab Experiment; Adam Warlock
Lances; Dimitri, Pearl, Sylvain, Ingrid, Ferdinand, Lorenz
Large Bird; Big Bird
Last of Kind; Aerith Gainsborough, Martian Manhunter, Sisu, Tong, Superman
Lava Monster; Te Ka
Lawful Stupid; Reithen Keiros
Lawyer; Atticus Finch
Lazy; Hilda, Linhardt, Sans, Wendy Corduroy
Leader; Barret Wallace, Batman, Captain America, Cyclops, Garnet, Iron Man, Leia Organa (Old), Leia Organa, Martian Manhunter, Rikk, Superman, Garnet, Steven Universe
League of Legends; Aphelios
Legacy; Barry Allen|Jay Garrick, Bart Allen|Wally West, Boba Fett|Jango Fett, Bucky Barnes|Captain America, Cassie Lang|Scott Lang, Damian Wayne|Tim Drake, Dick Grayson|Batman, Falcon|Captain America, Hope van Dyne|Janet van Dyne, Ironheart|Iron Man, Jason Todd|Dick Grayson, Jim Gordon|Batman, Miles Morales|Spider-Man, Moff Gideon, Monica Rambeau|Carol Danvers, Ms. Marvel|Carol Danvers, Nadia Van Dyne|Janet van Dyne, Scott Lang|Hank Pym, Soos Ramirez|Grunkle Stan, Tim Drake|Jason Todd, Wally West II|Wally West, Wally West|Barry Allen, War Machine|Iron Man
Legend; Alan Scott, Barry Allen, Batman, Captain America, Hal Jordan, Jay Garrick, John Stewart, Rita Vrataski, Superman, Wally West, Wonder Woman, Pearl, Garnet
Legendary Hero; Captain America, Kal-L, Maui, Rita Vrataski, Superman, Pearl
Legion of Superheroes; Brainiac 5, Supergirl, Superman
Lesbian; Garnet, Adora, Alphys, Ruby, Sapphire, Undyne, Catra
Lightning; Black Lightning, Jason Grace, Thor
Lion; Cowardly Lion
Literary Agent; Barry Wheeler
Long Nose; Pearl, Olaf
Looks-Like-Child-But-Is-Actually-Old; Flayn, Sothis
Lost in a Strange World; Dorothy Gale
Loud; Alois, Caspar, Catherine, Ferdinand
Lumberjack; Tin Woodman
Lung Problems; General Grievous
Machine Hunter; Aloy
Magic Entity; Amethyst, Captain Marvel Jr., Captain Marvel, Mary Marvel, Olaf, Amethyst (Steven Universe), Bismuth, Garnet, Lapis Lazuli, Pearl, Peridot, Ruby, Sapphire, Scarecrow (Oz), Tin Woodman
Magic Gunslinger; Bayonetta
Magic User; Abby Cadabby, Aerith Gainsborough, Albus Dumbledore, Amos Kane, Annette, Arya, Bill Weasley, Calypso, Carter Kane, Dorothea, Elsa, Fleur Delacour, Ginny Weasley, Glinda the Good Witch, Harry Potter, Hearthstone, Hermione Granger, Hubert, Kalathos Sunstrider, Lord Voldemort, Lysithea, Marianne, Ron Weasley, Sadie Kane, Scarlet Witch, Seteth, Solon, Thales, Walt Stone, Wicked Witch of the West, Zia Rashid
Magnet Powers; Magneto, Peridot
Major; William Cage
Mandalorian; Jango Fett, The Mandalorian
Manipulator; Amanda Waller, Anna Croft, Baron Zemo, Batman
Marine; Doomslayer, John Stewart
Married; Ally|Rikk, Ally|Rumy, Augustin Madrigal|Julieta Madrigal, Bill Weasley|Fleur Delacour, Black Panther|Storm, Felix Madrigal|Pepa Madrigal, Fleur Delacour|Bill Weasley, Hank Pym|Janet van Dyne, Janet van Dyne|Hank Pym, Julieta Madrigal|Agustin Madrigal, Mr. Fantastic|The Invisible Woman, Pepa Madrigal|Felix Madrigal, Rikk|Ally, Rikk|Rumy, Ruby|Sapphire, Rumy|Ally, Rumy|Rikk, Sapphire|Ruby, The Invisible Woman|Mr. Fantastic
Martial Artist; Akuma, Carmen Cortez, Chun-Li, Juni Cortez, Ken, Rumy, Ryu, Ty Lee
Martian; Martian Manhunter, Miss Martian
Massive; Ego, Omega (Edge of Tomorrow), Rhea, Smaug
Master Apprentice; Ahsoka Tano|Anakin Skywalker, Anakin Skywalker|Ahsoka Tano, Anakin Skywalker|Obi-Wan Kenobi, Count Dooku|Sheev Palpatine, Count Dooku|Yoda, Count Dooku|Qui-Gon Jinn, Darth Maul|Sheev Palpatine, Darth Vader|Sheev Palpatine, Kylo Ren|Luke Skywalker, Luke Skywalker|Obi-Wan Kenobi, Luke Skywalker|Yoda, Luke Skywalker|Kylo Ren, Luke Skywalker|Rey, Obi-Wan Kenobi|Anakin Skywalker, Obi-Wan Kenobi|Luke Skywalker, Obi-Wan Kenobi|Qui-Gon Jinn, Qui-Gon Jinn|Obi-Wan Kenobi, Qui-Gon Jinn|Yoda, Qui-Gon Jinn|Count Dooku, Rey|Luke Skywalker, Rey|Leia Organa, Sheev Palpatine|Darth Maul, Sheev Palpatine|Darth Vader, The Child|Luke Skywalker, Wally West|Barry Allen, Yoda|Qui-Gon Jinn, Yoda|Luke Skywalker, Yoda|Mace Windu
Master Servant; Dedue|Dimitri, Dimitri|Dedue, Edelgard|Hubert, Hubert|Edelgard
Mastermind; Batman, Damian Wayne, Maxwell, Solon, Thales, Tim Drake, Yekkon Shmekkon
Maternal; Toriel, Pearl, Garnet, Julieta Madrigal, Mercedes
Matriarch; Abuela Alma Madrigal
Matyr; John Proudstar
Mech Suit; Rita Vrataski, William Cage
Mechanic; Kuiil, Rose Tico
Medical Doctor; Allison Blake, Dr. Bunsen Honeydew, Harvey, John Seward, John Watson, Medic
Megalomaniac; M. Bison, Seth, Chara
Mentor; Abraham Van Helsing, Albus Dumbledore, Amos Kane, Barry Allen, Brom, Gran'ma Ben, Iroh, Jay Garrick, Kuiil, Leia Organa (Old), Max Mercury, Ted Kord, Pearl
Mercenary; Cara Dune, Demoman, Engineer, Heavy, Leonie, Medic, Pyro, Scout, Sniper, Soldier, Spy
Merciless; Anton Chigurh, Sans, Scorpion, Sniper, Spy
Metal; Colossus, Iron Man, Ironheart, Tin Woodman, Vision, Viv Vision, War Machine
Metal Bender; Toph Beifong
Metal Manipulation; Hazel Levesque, Magneto, Peridot, Toph Beifong
Militarist; Hawkgirl
Military; Guile, Grand Moff Tarkin, Moff Gideon, Peridot, Anakin Skywalker, Obi-Wan Kenobi, Count Dooku, General Grievous, Captain America, Rita Vrataski, William Cage
Military Officer; Grand Moff Tarkin, Moff Gideon, Anakin Skywalker, Obi-Wan Kenobi, Count Dooku, General Grievous, Rita Vrataski
Mimicry; Camilo Madrigal, Loki, Martian Manhunter, Miss Martian
Minion; Blue Stupid Rat Creature, Brown Stupid Rat Creature
Mischevious; Amethyst (Steven Universe)
Monk; Aang, Reithen Keiros, Zulen Kal-Thim
Monster; Terrence the Baby Tarrasque
Monster Hunter; Abraham Van Helsing, Alucard, Alucard, Arthur Holmwood, Bayonetta, Blake Belladonna, John Seward, Jonathan Harker, Mina Harker, Quincey Morris, Ruby Rose, Weiss Schnee, Yang Xiao Long, Yekkon Shmalakis, Amethyst (Steven Universe), Steve Universe, Garnet, Pearl, Peridot, Connie Maheswaran 
Moral Compass; Ann Takamaki, Steven Universe
Mortal Kombat; Scorpion
Most Powerful; Albus Dumbledore, Amos Kane, Kal-L, Sheev Palpatine, Snoke, Superman, Steven Universe, Byleth
Parent of Species; Rosalina, Sothis, Steven Universe
Muggleborn; Hermione Granger
Multiversal Origin; Alexander Luthor Jr., America Chavez, Blaze the Cat, Blink, Kal-L, Miles Morales, Pariah, Superboy Prime
Muppet; Abby Cadabby, Animal, Bert, Big Bird, Ernie
Murderer; Michael Myers
Musclehead; Ken, Korra, Alice Daerdahk, Raphael, Caspar, Catherine, Ruby, Alex
Muscles; Alice Daerdahk, Caspar, Raphael, Catherine, Ken, Korra, Maui, Luisa Madrigal, Amadeus Cho, Colossus, Drax the Destroyer, Hulk, John Proudstar, Ryu, Captain Marvel, 
Musical; Anna, Elsa, Kristoff, Maui, Moana, Olaf, Sven, Tamatoa, Steven Universe, Pearl, Garnet, Amethyst (Steven Universe), Peridot, Lapis Lazuli, Candace Flynn, Buford Van Stomm, Baljeet Tjinder
Musician; Animal, Brook, Smiley Bone, Steven Universe
Muslim; Ms. Marvel, Samirah al-Abbas
Mutant; Angel, Armor, Aurora, Banshee, Beast, Blink, Cannonball, Colossus, Cyclops, John Proudstar, Nightcrawler, Northstar, Psylocke, Quicksilver, Scarlet Witch, Storm, Sunfire, Wolverine, Young Cyclops
Mutation; Beast
Mysterious; Mr. Qi
Mysterious Backstory; M. Bison, Medic, Sombra, Spy, Mr. Qi
NASA; Annie Montrose, Beth Johanssen, Bruce Ng, Dr. Chris Beck
Naive; Ash Ketchum, Olaf, Scout Finch, Smiley Bone, Soos Ramirez, Steven Universe, Papyrus
Narrator; John Watson, Scout Finch, Chara
Nasally; Peridot
Native American; John Proudstar
Nature; Aloy
Naval Captain; Captain George Pollard Jr.
Nemesis; Bill Cipher|Stanford Pines, Bill Cipher|Dipper Pines, Bowser|Mario, Chell|GlaDOS, Darth Maul|Obi-Wan Kenobi, Darth Vader|Obi-Wan Kenobi, Darth Vader|Luke Skywalker, Dipper Pines|Bill Cipher, Doctor Eggman|Sonic the Hedgehog, Dr. Loomis|Michael Myers, Harry Potter|Lord Voldemort, James Moriarty|Sherlock Holmes, Lord Voldemort|Harry Potter, Luke Skywalker|Darth Vader, Mario|Bowser, Michael Myers|Dr. Loomis, Namaari|Raya, Obi-Wan Kenobi|Darth Vader, Obi-Wan Kenobi|Darth Maul, Raya|Namaari, Sheev Palpatine|Yoda, Sherlock Holmes|James Moriarty, Sonic the Hedgehog|Doctor Eggman, Stanford Pines|Bill Cipher
New Mutants; Cannonball
New Yorker; Barry Wheeler, Spider-Man, Miles Morales, Ms. Marvel, Mr. Fantastic, The Thing, The Human Torch, The Invisible Woman, Bucky Barnes, Captain America
Next Generation; Irey West, Ironheart, Jai West, Miles Morales, Ms. Marvel, Sam Alexander, Viv Vision
Ninja; Devahi, Fuzzy, Psylocke, Sam (Sam and Fuzzy), Scorpion
No Manners; Kristoff
Nobility; Annette, Aragorn, Arthur Holmwood, Arwen, Arya, Asgore, Azula, Bard the Bowman, Bernadetta, Black Panther, Blaze the Cat, Boromir, Bowser Jr., Bowser, Captain Nemo, Caspar, Dimitri, Dracula, Edelgard, Felix, Ferdinand, Glimmer, Gran'ma Ben, Hilda, Hippolyta, Hubert, Ingrid, Iroh, Leia Organa (Old), Leia Organa, Linhardt, Lorenz, Lysithea, Mai, Marianne, Namaari, Ozai, Padme Amidala, Petra (Fire Emblem), Princess Daisy, Princess Peach, Raya, Sylvain, Thorn Harvestar, Toriel, Ty Lee, Wonder Woman, Zuko, Steven Universe
Non-Powered; Asami Sato, Barbara Gordon, Batman, Bentley-23, Black Widow, Bucky Barnes, Damian Wayne, Dick Grayson, Hawkeye, Jason Todd, Mai, Mirabel Madrigal, Sokka, Suki, Ted Kord, Tim Drake, Ty Lee, Connie Maheswaran
Norse; Alex Fierro, Atreus, Blitzen, Halfborn Gunderson, Kratos, Magnus Chase, Mallory Keen, Samirah al-Abbas, Thomas Jefferson Jr.
Nova Corps; Sam Alexander
NuHuman; Ms. Marvel
Nurse; Maru
OCD; Adrian Monk, Pearl
OSS; Carmen Cortez, Juni Cortez
Observer; Harbringer, Rosalina
Occult Interested; Abigail
Ocean; Aquaman, Captain Nemo, Moana, Percy Jackson, Lapis Lazuli, Katara, Sokka, Korra
Officer; Amilyn Holdo, Captain Phasma, Jar Jar Binks
Old; Abraham Van Helsing, Alan Scott, Albus Dumbledore, Brom, Gran'ma Ben, Iroh, Jay Garrick, Jenkins, Kuiil, Leia Organa (Old), Magneto, Wicked Witch of the West
Omnipotent; Athena
Orange; BB-8
Order of the Pheonix I; Albus Dumbledore
Order of the Pheonix II; Albus Dumbledore, Arthur Weasley, Bill Weasley
Original Four (KSP); Bill Kerman, Bob Kerman, Jebediah Kerman, Valentina Kerman
Original Three (Band of Fools); Arthail Consumer of Food, Glynnric Manassnass, Kalathos Sunstrider
Orphan; Araithia Shokta, Boun, Noi
Outdoorsman; Kristoff
Outsiders; Batman, Black Lightning
Overachiever; Annette, Hermione Granger, Isabelle, Connie Maheswaran
Overly Emotional; Pepa Madrigal
Overly Sexualized; Ally
Overwatch; Sombra
Overweight; Soos Ramirez, Amethyst (Steven Universe)
PR Person; Annie Montrose
Pacifist; Aang, Drax the Destroyer, Frisk (Pacifist Route), Iroh, Mantis
Painter; Ignatz, Bernadetta, Rumy
Paladin; Nahara
Paragon; Adora, Captain America, Cyclops, Hal Jordan, Superman, Wonder Woman
Paranoid; Dipper Pines
Paranormal Investigator; Dipper Pines, Stanford Pines
Parent Child; Abuela Alma Madrigal|Pepa Madrigal, Abuela Alma Madrigal|Bruno Madrigal, Abuela Alma Madrigal|Julieta Madrigal, Atreus|Kratos, Atticus Finch|Scout Finch, Atticus Finch|Jem Finch, Augustin Madrigal|Isabela Madrigal, Augustin Madrigal|Luisa Madrigal, Augustin Madrigal|Mirabel Madrigal, Azula|Ozai, Barbara Gordon|Jim Gordon, Batman|Damian Wayne, Boba Fett|Jango Fett, Bowser Jr.|Bowser, Bowser|Bowser Jr., Bruno Madrigal|Abuela Alma Madrigal, Camilo Madrigal|Pepa Madrigal, Camilo Madrigal|Felix Madrigal, Cassie Lang|Scott Lang, Damian Wayne|Batman, Darth Vader|Luke Skywalker, Darth Vader|Leia Organa, Dolores Madrigal|Pepa Madrigal, Dolores Madrigal|Felix Madrigal, Ego|Star-Lord, Felix Madrigal|Dolores Madrigal, Felix Madrigal|Camilo Madrigal, Felix Madrigal|Antonio Madrigal, Flayn|Seteth, Gamora|Thanos, Han Solo (Old)|Kylo Ren, Han Solo|Kylo Ren, Hank Pym|Hope van Dyne, Hippolyta|Wonder Woman, Hope van Dyne|Hank Pym, Hope van Dyne|Janet van Dyne, Irey West|Wally West, Iroh|Zuko, Isabela Madrigal|Augustin Madrigal, Isabela Madrigal|Julieta Madrigal, Jai West|Wally West, Janet van Dyne|Hope van Dyne, Janet van Dyne|Nadia van Dyne, Jango Fett|Boba Fett, Jem Finch|Atticus Finch, Jim Gordon|Barbara Gordon, Julieta Madrigal|Abuela Alma Madrigal, Julieta Madrigal|Isabela Madrigal, Julieta Madrigal|Luisa Madrigal, Julieta Madrigal|Mirabel Madrigal, Kratos|Atreus, Kylo Ren|Leia Organa, Kylo Ren|Han Solo, Leia Organa (Old)|Darth Vader, Leia Organa (Old)|Kylo Ren, Leia Organa|Darth Vader, Leia Organa|Kylo Ren, Leia Organa|Padme Amidala, Luisa Madrigal|Augustin Madrigal, Luisa Madrigal|Julieta Madrigal, Luke Skywalker|Darth Vader, Luke Skywalker|Padme Amidala, Magneto|Scarlet Witch, Magneto|Quicksilver, Nadia Van Dyne|Hank Pym, Nadia Van Dyne|Janet van Dyne, Nebula|Thanos, Ozai|Azula, Ozai|Zuko, Padme Amidala|Luke Skywalker, Padme Amidala|Leia Organa, Pepa Madrigal|Abuela Alma Madrigal, Pepa Madrigal|Dolores Madrigal, Pepa Madrigal|Camilo Madrigal, Pepa Madrigal|Antonio Madrigal, Quicksilver|Magneto, Reithen Keiros|Terrence the Baby Tarrasque, Scarlet Witch|Magneto, Scott Lang|Cassie Lang, Scout Finch|Atticus Finch, Seteth|Flayn, Terrence the Baby Tarrasque|Reithen Keiros, Thanos|Gamora, Thanos|Nebula, The Child|The Mandalorian, The Mandalorian|The Child, Vision|Viv Vision, Viv Vision|Vision, Wally West|Irey West, Wally West|Jai West, Wonder Woman|Hippolyta, Zuko|Iroh, Zuko|Ozai
Part-Machine; Cyborg
Patriotism; Captain America, Captain Britain, Soldier
Peasant; Bard the Bowman
Peg-Leg; Captain Ahab
Perfect; Isabela Madrigal
PhD; Allison Blake
Phantom Thieves of Hearts; Ann Takamaki
Photographer; Haley, Spider-Man
Photokinesis; Glimmer
Phrase of Power; Adora, Captain Marvel Jr., Captain Marvel, Mary Marvel
Pilot; Amilyn Holdo, Carmen Cortez, Chewbacca, Finn, Hal Jordan, Han Solo (Old), Han Solo, Juni Cortez, Lando Calrissian, Luke Skywalker, Poe Dameron, Rey, Star-Lord, Yondu, Pearl
Pink; Amy Rose, Steven Universe
Pirate; Star-Lord, Yondu
Pixelated; Abigail, Alex, Elliot, Emily, Haley, Harvey, Leah, Maru, Mr. Qi, Penny, Sam (Stardew Valley), Sebastian, Shane, Alphys, Asgore, Chara, Flowey, Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk, Mettaton, Papyrus, Sans, Toriel, Undyne
Planeswalker; Araithia Shokta
Planet; Ego
Plant; Groot
Plant Life Manipulation; Isabela Madrigal, Groot
Platformer; Amy Rose, Banjo, Kazooie, Luigi, Mario, Sonic the Hedgehog
Playboy; Sylvain
Player Character; Alyx, Byleth, Cal Kestis, Doomslayer, Frisk (Genocide Route), Frisk (Neutral Route), Frisk (Pacifist Route), Frisk, Gordon Freeman, Mario, Red (Pokemon), Sonic the Hedgehog
Pokemon Trainer; Ash Ketchum, Blue, Brock, Misty, Red (Pokemon)
Police; Barry Allen, Chun-Li, Inspector Lestrade, Jim Gordon, Adrian Monk
Polyamory; Ally, Rikk, Rumy
Polymorph; Mr. Fantastic, Ms. Marvel
Portals; Chell
Possessing Possessed; Byleth|Sothis, Chara|Frisk (Genocide Route), Frisk (Genocide Route)|Chara, Frisk|Chara, Reithen Keiros|Zulen Kal-Thim, Sothis|Byleth, Zulen Kal-Thim|Reithen Keiros
Possession; Chara, Sothis, Zulen Kal-Thim
Post-Apocalyptic; Garrik Doriana, Artyom
Post-Human; Kronya, Solon, Thales
Power-Ups; Luigi, Mario
Powerhouse; Adora, Amadeus Cho, America Chavez, Armor, Blue Marvel, Carol Danvers, Colossus, Dedue, Drax the Destroyer, Groot, Hulk, Kal-L, Martian Manhunter, Maui, Miss Martian, Raphael, Supergirl, Superman, Thanos, The Thing, Wonder Woman, Garnet
Powers Controlled by Emotions; Pepa Madrigal
Prankster; Beast Boy, Bowser Jr., Camilo Madrigal, Loki, Amethyst (Steven Universe)
Prideful; Chun-Li, Dimitri, Ken
Priestess; Mercedes
Prince(ess); Azula, Glimmer, Leia Organa (Old), Leia Organa, Namaari, Petra (Fire Emblem), Princess Daisy, Princess Peach, Raya, Rosalina, Thorn Harvestar, Wonder Woman, Bowser Jr., Dimitri, Steven Universe
Programmer; Alan Bradley, Barbara Gordon, Sebastian
Prosthetic; Barret Wallace, Bucky Barnes, Captain Ahab, Yang Xiao Long
Protocol Droid; C3PO
Psychiatrist; Dr. Loomis, John Seward
Psychic; Blaze the Cat, Mantis, Psylocke, Steven Universe, Martian Manhunter, Miss Martian
Psychopath/Sociopath; Alex DeLarge, Anton Chigurh, Azula, Chara, Culverton Smith, Flowey, Frisk (Genocide Route), Medic, Bill Cipher
Pureblood; Bill Weasley, Ginny Weasley, Harry Potter, Ron Weasley
Pyromaniac; Dr. Bunsen Honeydew, Pyro
Quasi-Divine; Doomslayer, Dr. Samuel Hayden, Rhea, Seteth, Flayn
Queen; Arwen, Arya, Glimmer, Gran'ma Ben, Hippolyta, Padme Amidala, Thorn Harvestar, Toriel
Quiet; Bernadetta, Linhardt, Mercedes, Michael Myers, Shamir, Garnet
Racer; Captain Falcon
Racist; Kronya
Raised by Animals; Noi
Ranger; Akkar, Artyom, Jori-En Blurred
Reader; Penny
Reality Bending; Alan Wake
Reality Hopping; America Chavez, Blink
Reality Loop; Omega (Edge of Tomorrow), Rita Vrataski, William Cage
Reality Off Kelter; Extortionist Hobo, Mabel Pines, Mr. Qi
Reality Warper; the Icon of Sin, Bill Cipher
Really Old; Fedora Turthin, Pearl, Garnet, Amethyst (Steven Universe), Bismuth, Lapis Lazuli, Peridot
Rebel; Adora, Alyx, Amethyst (Steven Universe), Amy Ferrier, Amy Rose, Barret Wallace, Bismuth, Bow, C3PO, Cara Dune, Chewbacca, Cyclops, Gamora, Garnet, Glimmer, Gordon Freeman, Han Solo (Old), Han Solo, Lando Calrissian, Lapis Lazuli, Leia Organa (Old), Leia Organa, Luke Skywalker, Pearl, Peridot, R2-D2, Ruby, Sapphire, Sonic the Hedgehog, Star-Lord, Wendy Corduroy
Rebel Alliance; Cara Dune, C3PO, R2-D2, Han Solo, Leia Organa, Luke Skywalker, Lando Calrissian, Chewbacca, Obi-Wan Kenobi
Rebellion (She-Ra); Adora, Bow, Glimmer, Catra
Rebellion (Star Wars); C3PO, Chewbacca, Han Solo (Old), Han Solo, Lando Calrissian, Leia Organa (Old), Leia Organa, Luke Skywalker, R2-D2
Red Hair; Wendy Corduroy
Redemption Arc; Agent Venom, Bismuth, Catra, Hawkeye, Kylo Ren, Lapis Lazuli, Mai, Namaari, Peridot, Quicksilver, Scarlet Witch, Te Ka, Ty Lee, Zuko, Abuela Alma Madrigal, Greef Karga, IG-11, Drax the Destroyer, Gamora, Groot, Nebula, Yondu
Reformed; Agent Venom, Hawkeye, Quicksilver, Scarlet Witch, Peridot, Zuko, Gamora, Nebula
Regeneration; Wolverine
Reincarnation; Aang, Hawkgirl, Steven Universe
Reindeer; Sven
Relic Wielder; Annette, Byleth, Catherine, Claude, Dimitri, Edelgard, Felix, Ingrid, Mercedes, Sylvain
Religious; Mercedes, Nightcrawler, Rhea
Reluctant Hero; Bilbo Baggins
Reluctant Villain; Asgore
Renegade Servant; Pearl
Reporter; Iris West, Spider-Man, Superman
Reprogrammed; IG-11
Resistance (Star Wars); Amilyn Holdo, C3PO, Chewbacca, Finn, Leia Organa (Old), Leia Organa, Poe Dameron, R2-D2, Rey, Rose Tico
Revenge-Driven; Chun-Li, Guile
Rich; Arthur Holmwood, Batman, Culverton Smith, Iron Man, Mr. Fantastic
Right-Hand Man Leader; Rhea|Seteth, Seteth|Rhea
Ring-Bearer; Bilbo Baggins
Ripple User; Caesar Anthonio Zeppeli
Rival; Captain America|Iron Man, Iron Man|Captain America
Roadie; Fuzzy, Sam (Sam and Fuzzy)
Robins; Damian Wayne, Dick Grayson, Jason Todd, Tim Drake
Robot; Atomic Robo, Bastion, IG-11, Ultron, C3PO, R2-D2, BB-8, IKCFAMWSIIF, Mettaton
Rogue; Araithia Shokta, Glynnric Manassnass, Yekkon Shmekkon
Roman; Frank Zhang, Hazel Levesque, Jason Grace
Romantic Subplot; Aang|Katara, Adora|Catra, Alex Fierro|Magnus Chase, Alphys|Undyne, Amy Rose|Sonic the Hedgehog, Anakin Skywalker|Padme Amidala, Annabeth Chase|Percy Jackson, Arwen|Aragorn, Asami Sato|Korra, Barry Allen|Iris West, Beth Johanssen|Dr. Chris Beck, Black Canary|Green Arrow, Blake Belladonna|Yang Xiao Long, Bow|Glimmer, Calypso|Leo Valdez, Carter Kane|Zia Rashid, Cassie Lang|Iron Lad, Catra|Adora, Connie Maheswaran|Steven Universe, Devahi|Sam (Sam and Fuzzy), Dr. Chris Beck|Beth Johanssen, Fone Bone|Thorn Harvestar, Frank Zhang|Hazel Levesque, Gamora|Star-Lord, Ginny Weasley|Harry Potter, Glimmer|Bow, Green Arrow|Black Canary, Halfborn Gunderson|Mallory Keen, Han Solo|Leia Organa, Harry Potter|Ginny Weasley, Hazel Levesque|Frank Zhang, Hermione Granger|Ron Weasley, Hope van Dyne|Scott Lang, Iris West|Barry Allen, Iron Lad|Cassie Lang, Jason Grace|Piper McLean, Jonathan Harker|Mina Harker, Katara|Aang, Korra|Asami Sato, Kristoff|Anna, Kylo Ren|Rey, Leia Organa|Han Solo, Leo Valdez|Calypso, Luigi|Princess Daisy, Magnus Chase|Alex Fierro, Mai|Zuko, Mallory Keen|Halfborn Gunderson, Mario|Princess Peach, Mina Harker|Jonathan Harker, MJ Watson (MCU)|Spider-Man, Padme Amidala|Anakin Skywalker, Percy Jackson|Annabeth Chase, Piper McLean|Jason Grace, Princess Daisy|Luigi, Princess Peach|Mario, Rey|Kylo Ren, Rita Vrataski|William Cage, Ron Weasley|Hermione Granger, Sadie Kane|Walt Stone, Sam (Sam and Fuzzy)|Devahi, Scarlet Witch|Vision, Scott Lang|Hope van Dyne, Sokka|Suki, Sonic the Hedgehog|Amy Rose, Star-Lord|Gamora, Steven Universe|Connie Maheswaran, Suki|Sokka, Thorn Harvestar|Fone Bone, Ty Lee|Zuko, Undyne|Alphys, Vision|Scarlet Witch, Walt Stone|Sadie Kane, William Cage|Rita Vrataski, Yang Xiao Long|Blake Belladonna, Zia Rashid|Carter Kane, Zuko|Mai
Royal Guardsman; Alphys, Papyrus, Sans, Undyne, Pearl
Royalty; Amethyst, Anna, Aquaman, Aragorn, Arwen, Arya, Asgore, Azula, Bard the Bowman, Black Panther, Blaze the Cat, Bowser Jr., Bowser, Captain Nemo, Dimitri, Edelgard, Elsa, Glimmer, Gran'ma Ben, Hippolyta, Iroh, Leia Organa (Old), Leia Organa, Namaari, Ozai, Padme Amidala, Petra (Fire Emblem), Princess Daisy, Princess Peach, Raya, Sam (Sam and Fuzzy), Thorn Harvestar, Toriel, Wonder Woman, Zuko
Ruler; Aquaman, Aragorn, Arwen, Arya, Black Panther, Bowser, Dimitri, Edelgard, Fuzzy, Glimmer, Glinda the Good Witch, Gran'ma Ben, Khan Makyr, Lando Calrissian, Ozai, Padme Amidala, Sam (Sam and Fuzzy), Sheev Palpatine, Snoke, Thorn Harvestar, Toriel, Wicked Witch of the West, Wizard of Oz, Zuko, Rhea, 
Runes; Hearthstone
Russian; Black Widow, Colossus, Heavy, Nadia Van Dyne
Ruthless; Captain Nemo, James Moriarty, Sans, Frisk (Genocide Route)
SHIELD (Marvel); Black Widow, Hawkeye
